HUC8,Year,Month,PPT,TMAX,USDM
7110001,2015,6,3.615798485,1.045602589,0
7110001,2015,7,2.623973247,1.19609972,0
7110001,2015,8,-0.220960899,1.125531375,0
7110001,2015,9,-0.347731707,1.151570482,0
7110001,2015,10,-0.521844852,0.364379541,0.399348652
7110001,2015,11,1.022574302,-0.152111621,0.383002494
7110001,2015,12,0.91652502,-0.614020447,0
7110001,2016,1,-1.08693823,-1.277260194,0
7110001,2016,2,-0.951989427,-0.85865049,0
7110001,2016,3,-0.354941972,-0.129883368,0
7110001,2016,4,-0.017152783,0.239783718,0
7110001,2016,5,0.552938231,0.616625552,0
7110001,2016,6,-0.960959885,1.384119979,0.492002912
7110001,2016,7,1.318946162,1.242807915,0.40045986
7110001,2016,8,1.903142144,1.225522128,0
7110001,2016,9,-0.270291871,1.104980198,0
7110001,2016,10,-0.375903388,0.532923479,0
7110001,2016,11,-0.787676535,0.018226014,0
7110001,2016,12,-0.779326169,-1.168399697,0
7110001,2017,1,-0.714395856,-1.082816113,0
7110001,2017,2,-1.166269745,-0.373082133,0
7110001,2017,3,0.134663133,-0.296557066,0.716000663
7110001,2017,4,1.013465149,0.324649938,0
7110001,2017,5,0.337145843,0.644900477,0
7110001,2017,6,0.285706464,1.236237021,0.040251221
7110001,2017,7,-0.451363731,1.445903191,0.166184721
7110001,2017,8,0.544939979,1.113764931,0.336559558
7110001,2017,9,-0.88368106,1.099548335,0.335466851
7110001,2017,10,0.834121049,0.387796343,0.248533206
7110001,2017,11,-0.808790531,-0.420915004,0.005275892
7110001,2017,12,-1.131149578,-0.993762385,0.005276468
7110001,2018,1,-0.965831637,-1.307910808,0.232652556
7110001,2018,2,0.05693372,-1.026156105,0.367099773
7110001,2018,3,0.169725844,-0.583182535,0.567876547
7110001,2018,4,-0.988277337,-0.192702197,0.860065879
7110001,2018,5,-0.375964077,1.141880043,0.5997607
7110001,2018,6,0.260198255,1.309720584,1.423730341
7110001,2018,7,0.23669278,1.343076581,1.552606352
7110001,2018,8,1.721043506,1.329758339,1.851392553
7110001,2018,9,1.556913593,1.007576186,0.283907256
7110001,2018,10,1.515112257,0.198139455,0.07171166
7110001,2018,11,-0.058382532,-0.855288565,0
7110001,2018,12,-0.666734488,-0.900332952,0
7110001,2019,1,0.019209536,-1.291294485,0
7110001,2019,2,-0.39076225,-1.278074632,0
7110001,2019,3,0.565903872,-0.662890675,0
7110001,2019,4,-0.185785894,0.202012621,0
7110001,2019,5,4.523678794,0.524404047,0
7110001,2019,6,1.496809802,1.050618672,0
7110001,2019,7,-0.287122748,1.395062307,0
7110001,2019,8,0.755213635,1.150836517,0
7110001,2019,9,1.943801381,1.087684953,0
7110001,2019,10,0.275126966,0.104435617,0
7110001,2019,11,-0.689500793,-0.67014549,0
7110001,2019,12,-0.646224667,-0.741722801,0
7110001,2020,1,-0.23781104,-1.148536596,0
7110001,2020,2,-0.977563689,-1.016360255,0
7110001,2020,3,0.196828396,-0.314403327,0
7110001,2020,4,0.002096679,0.086916265,0
7110001,2020,5,0.899681044,0.472216171,0
7110001,2020,6,1.277293953,1.219268876,0
7110001,2020,7,1.401063676,1.351813925,0
7110001,2020,8,-1.066330398,1.237699932,0.08530948
7110001,2020,9,0.885748795,0.788252002,0.025760787
7110001,2020,10,-0.816083224,0.071541512,0
7110001,2020,11,-0.175436187,-0.062940512,0
7110001,2020,12,-0.464485973,-0.883621697,0
7110001,2021,1,-0.274854032,-1.213198903,0
7110001,2021,2,-0.94540419,-1.657927585,0
7110001,2021,3,0.277487149,-0.150865324,0
7110001,2021,4,0.71787829,0.152504098,0
7110001,2021,5,0.994126646,0.507477831,0
7110001,2021,6,1.418664511,1.219714607,0
7110001,2021,7,1.722328613,1.227608614,0
7110001,2021,8,0.527046713,1.269221079,0
7110001,2021,9,-0.519486378,1.112566602,0
7110001,2021,10,1.110156398,0.425648773,0
7110001,2021,11,-1.094621145,-0.335136644,0
7110001,2021,12,-0.969922201,-0.50863261,0
7110001,2022,1,-0.891775881,-1.465355735,0
7110001,2022,2,-0.566285578,-1.083315979,0
7110001,2022,3,0.295022141,-0.341076876,0
7110001,2022,4,0.191423453,-0.046468273,0
7110001,2022,5,0.441151194,0.746575079,0
7110001,2022,6,0.593330504,1.228618173,0
7110001,2022,7,0.50092423,1.302684993,0
7110001,2022,8,-0.866628033,1.280394258,0.571771973
7110001,2022,9,0.824521979,0.974405754,0.981241621
7110001,2022,10,-0.475355162,0.333913697,0.735166285
7110001,2022,11,-0.42938335,-0.31880692,0.465424037
7110001,2022,12,-0.667611912,-1.121537172,0.414517532
10280201,2012,1,-1.156053851,-0.954599104,0
10280201,2012,2,-0.436913122,-0.838635863,0
10280201,2012,3,-0.134617727,0.262363484,0
10280201,2012,4,0.185404661,0.321348338,0
10280201,2012,5,-0.006453009,0.91829272,0.0001456
10280201,2012,6,-0.005758388,1.195771243,1.091323141
10280201,2012,7,-0.84606586,1.752609786,2.072376922
10280201,2012,8,0.007801737,1.356663876,2.68040768
10280201,2012,9,-0.822807047,0.898382643,2.798475748
10280201,2012,10,0.507127051,0.189270832,2.247527528
10280201,2012,11,-0.559363863,-0.304632897,1.781745382
10280201,2012,12,-0.505451629,-0.886203279,1.479006279
10280201,2013,1,-0.60403692,-1.048853178,1.135280735
10280201,2013,2,-0.275087464,-1.146152993,1
10280201,2013,3,-0.181209409,-0.932359814,0.410592411
10280201,2013,4,2.2537802,-0.088056444,0.248429013
10280201,2013,5,2.781640991,0.563699572,0
10280201,2013,6,0.243337458,0.974830125,0
10280201,2013,7,-0.230711864,1.193325446,0.0001911
10280201,2013,8,-1.050749509,1.298982341,0.621794522
10280201,2013,9,-0.150518488,1.088572692,1.228537629
10280201,2013,10,0.008654499,0.216799164,1.187678588
10280201,2013,11,-0.19603847,-0.614080705,1.024242424
10280201,2013,12,-1.009815515,-1.344504273,1.024242424
10280201,2014,1,-1.205168644,-1.419495645,1.024242424
10280201,2014,2,-0.301672479,-1.642074135,0.694976795
10280201,2014,3,-0.866292845,-0.736668776,0.171817272
10280201,2014,4,0.875795814,0.181660626,0.023754664
10280201,2014,5,0.160695528,0.640237292,0
10280201,2014,6,2.727047195,1.059582201,0
10280201,2014,7,0.001567463,1.034777046,0
10280201,2014,8,3.68307105,1.081289605,0
10280201,2014,9,0.847817349,0.724597262,0
10280201,2014,10,0.429408858,0.223850938,0
10280201,2014,11,-0.725505185,-0.823900877,0
10280201,2014,12,-0.996319129,-1.068313825,0
10280201,2015,1,-1.186249547,-1.187971716,0
10280201,2015,2,-0.635419785,-1.541920722,0
10280201,2015,3,-1.146808898,-0.337565794,0
10280201,2015,4,-0.11957571,0.297331235,0
10280201,2015,5,1.039652748,0.565390256,0
10280201,2015,6,3.56509948,1.016260473,0
10280201,2015,7,3.891718942,1.154521945,0
